"last_name, first_name",player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,oz_swing_percent,oz_contact_percent,out_zone_percent,whiff_percent,swing_percent
"Hendricks, Kyle",543294,508,16.1,6.1,0.327,0.322,33.2,8.7,36.3,74.930693077,93.474255436,63.7,31.6,74.7,48.9,17.8,48.0
"Holmes, Clay",605280,540,18.7,9.6,0.312,0.333,30.2,6.9,42.3,78.326841064,94.84293744,61.0,28.4,58.4,51.1,21.9,44.4
"Holmes, Grant",656550,492,25.0,11.0,0.316,0.333,36.4,10.1,41.9,79.629241184,94.661142401,69.0,28.8,42.3,51.5,29.7,48.3
"Imanaga, Shota",684007,403,21.1,4.7,0.275,0.303,32.9,10.4,40.3,80.153052603,94.31510732,72.4,31.3,62.0,44.1,24.1,54.3
"Irvin, Jake",663623,607,15.5,7.7,0.345,0.364,33.2,11.7,47.3,79.21261636,95.187701579,63.6,25.4,63.4,44.0,17.4,46.8
"Keller, Mitch",656605,601,18.6,6.5,0.307,0.324,33.6,6.8,42.8,79.530672805,94.497254299,68.4,25.6,57.0,45.3,19.7,49.0
"Kelly, Merrill",518876,584,23.3,7.5,0.282,0.321,30.6,9.0,43.8,79.616255051,95.056684091,66.6,31.8,58.4,52.6,24.8,48.3
"Kikuchi, Yusei",579328,621,24.0,9.8,0.325,0.337,34.5,9.5,42.3,81.314674307,95.121378069,67.6,27.0,57.9,47.3,23.5,48.4
"Kochanowicz, Jack",686799,488,14.5,11.3,0.368,0.361,26.1,8.4,48.3,81.673826158,95.550309773,69.6,27.1,57.3,51.0,21.1,47.9
"Kremer, Dean",665152,581,20.0,6.2,0.315,0.315,34.2,8.0,35.7,76.710787356,93.901174361,66.9,29.9,61.9,48.4,21.7,49.3
"Leiter, Jack",683004,454,21.1,11.9,0.303,0.35,34.0,11.7,43.7,80.4157562,94.794507726,68.5,25.3,52.4,49.0,24.9,47.3
